book,chapter,start_seconds
갈라디아서,1,0.998
갈라디아서,2,258.232
갈라디아서,3,554.635
갈라디아서,4,906.130
갈라디아서,5,1241.729
갈라디아서,6,1499.953
고린도전서,1,0.998
고린도전서,2,369.680
고린도전서,3,578.246
고린도전서,4,837.182
고린도전서,5,1104.350
고린도전서,6,1273.948
고린도전서,7,1512.457
고린도전서,8,1999.963
고린도전서,9,2163.839
고린도전서,10,2504.973
고린도전서,11,2854.087
고린도전서,12,3220.006
고린도전서,13,3538.227
고린도전서,14,3688.772
고린도전서,15,4138.775
고린도전서,16,4772.212
고린도후서,1,0.998
고린도후서,2,319.999
고린도후서,3,530.474
고린도후서,4,735.519
고린도후서,5,956.726
고린도후서,6,1226.700
고린도후서,7,1430.559
고린도후서,8,1686.171
고린도후서,9,1965.557
고린도후서,10,2164.544
고린도후서,11,2395.293
고린도후서,12,2773.700
고린도후서,13,3095.840
골로새서,1,0.998
골로새서,2,351.308
골로새서,3,615.305
골로새서,4,879.543
나훔,1,0.998
나훔,2,201.835
나훔,3,379.734
누가복음,1,0.998
누가복음,2,730.885
누가복음,3,1223.273
누가복음,4,1665.054
누가복음,5,2146.650
누가복음,6,2594.075
누가복음,7,3154.551
누가복음,8,3742.641
누가복음,9,4382.376
누가복음,10,5089.452
누가복음,11,5569.970
누가복음,12,6184.454
누가복음,13,6846.320
누가복음,14,7256.136
누가복음,15,7644.005
누가복음,16,7987.591
누가복음,17,8361.561
누가복음,18,8743.309
누가복음,19,9204.347
누가복음,20,9690.877
누가복음,21,10168.931
누가복음,22,10542.069
누가복음,23,11231.027
누가복음,24,11784.100
느헤미야,1,0.998
느헤미야,2,170.532
느헤미야,3,475.287
느헤미야,4,899.895
느헤미야,5,1210.534
느헤미야,6,1487.440
느헤미야,7,1760.555
느헤미야,8,2324.868
느헤미야,9,2613.391
느헤미야,10,3229.944
느헤미야,11,3567.435
느헤미야,12,3966.756
느헤미야,13,4480.695
다니엘,1,0.998
다니엘,2,270.624
다니엘,3,959.252
다니엘,4,1426.525
다니엘,5,2022.652
다니엘,6,2479.553
다니엘,7,2915.508
다니엘,8,3314.880
다니엘,9,3686.375
다니엘,10,4152.106
다니엘,11,4433.648
